Brice Allard
2143 - OOP
Dr. Stringfellow
Program 2 - Asterodis

                      Mission Status Report
---------------------------------------------------------------------
Asteroid Collected  Position      Weight             Distance (miles)
        1               4,5       2.2                  6.40312
        2               5,10       5.6                  5.09902
        8               0,10         3                        5
        3              20,30         4                  28.2843
        4              30,40       3.5                  14.1421
        14             30,45       9.1                        5
        12             40,60       8.7                  18.0278
        17             40,70       4.5                       10
        20             30,65       4.5                  11.1803
        19             20,70         7                  11.1803
        18             10,50         4                  22.3607
        13             50,50         3                       40
        5              60,70         8                  22.3607
        7              50,80       7.2                  14.1421
        11             60,90       8.9                  14.1421
        9              75,75       9.2                  21.2132
        15             85,75       2.2                       10
        6             100,50       7.5                  29.1548
        16            100,100       3.9                       50
---------------------------------------------------------------------
        20              -           106                  337.691
